U3585,Y-O Ranch,PA,1940-12-04 23:00:00.000+0000,robbie_guerrero2129@veryspeedy.net,Robbie,M,Guerrero,S.,332-563-4108,Maine,164 Misty Maple Square,71672
U2852,Brandenburg,SN,1937-12-04 00:00:00.000+0000,vantriest4823@gmail.com,Alana,F,van Triest,,717-303-2234,Tennessee,209 Round Cliff,96535
U1052,Sun village,KZ,1994-12-09 00:00:00.000+0000,keisha5503@sent.at,Keisha,F,Hart,,948-237-4340,Illinois,104 E Log,73622
U1887,Raymore,GU,1943-10-31 23:00:00.000+0000,chuck_dekruijff164@mailandftp.com,Chuck,M,de Kruijff,,466-869-2034,Oregon,130 View Vista,74786
U4288,Channing,IM,1957-12-06 00:00:00.000+0000,jones3154@inoutbox.com,Orlando,M,Jones,U.,767-082-7423,Rhode Island,P.O. Box 60961,77865
U3903,Bancroft,AD,1954-12-07 00:00:00.000+0000,mellie_wang3383@internet-mail.org,Mellie,F,Wang,,950-411-5373,Kentucky,P.O. Box 60146,86843
U2783,Fordsville,TZ,1968-12-01 23:00:00.000+0000,moore2787@postpro.net,Clyde,M,Moore,J.,614-568-8244,Illinois,249 Colonial Gardens,48899
U3087,Toms Brook,PF,1993-12-02 00:00:00.000+0000,alexis_tyler1945@imap-mail.com,Alexis,F,Tyler,,262-135-5566,Massachusetts,267 Bright Extension,46746
U706,Wakefield,BG,1991-12-03 00:00:00.000+0000,glen2753@ml1.net,Glen,M,Wolff,J.C.E.,282-647-8346,Oklahoma,749 Green Quail,26905
U2490,Green,CI,1972-12-09 00:00:00.000+0000,matthew_vanzetten2665@fastmail.es,Matthew,M,van Zetten,Q.,616-970-4944,Maryland,507 N Zephyr,10713
U4646,Conesville,TW,1943-12-05 23:00:00.000+0000,terweij6708@swift-mail.com,Lesha,F,Terweij,F.,981-122-2835,Alaska,156 Branch Promenade,73298
U114,Brandywine,IL,1979-12-04 00:00:00.000+0000,ris6888@fastmail.co.uk,Dean,M,Ris,B.J.,385-078-8696,Kansas,P.O. Box 82456,25930
U2127,Cullison,LA,1942-12-04 23:00:00.000+0000,shaun_stephanin4017@fast-mail.org,Shaun,M,Stephanin,,909-717-2808,Kentucky,364 Fallen Oak Glade,23277
U4410,Glastonbury Center,AT,1965-12-01 00:00:00.000+0000,jone_capiteijn7110@airpost.net,Jone,F,Capiteijn,,845-023-9165,Ohio,508 Circle Woods,61017
U1774,Kreamer,CO,1994-11-02 00:00:00.000+0000,cindi3809@emailgroups.net,Cindi,F,Knibbe,O.G.X.,349-907-2353,Ohio,769 Little Wagon,43176
U857,Brielle borough,BM,1961-12-08 00:00:00.000+0000,mallory_blevins3398@mailservice.ms,Mallory,F,Blevins,F.R.,957-284-2901,Montana,868 Colonial Lock,95628
